city,id,name,displayName,region,starRating,userRating,numReviews,userRatingInfo
Banda Aceh,3000010006969,Hip Hope Hotel,Hip Hope Hotel,"Baiturrahman, Banda Aceh",2.0,8.7,994.0,Mengesankan
Banda Aceh,3000020003208,Kyriad Hotel Muraya Aceh,Kyriad Hotel Muraya Aceh,"Kuta Alam, Banda Aceh",4.0,8.6,1875.0,Mengesankan
Banda Aceh,109027,The Pade Hotel,The Pade Hotel,"Banda Raya, Banda Aceh",3.0,8.5,1283.0,Mengesankan
Banda Aceh,2000000488116,Hotel Medan Banda Aceh,Hotel Medan Banda Aceh,"Kuta Alam, Banda Aceh",0.0,8.4,179.0,Mengesankan
Banda Aceh,3000010003870,Grand Arabia Hotel,Grand Arabia Hotel,"Meuraksa, Banda Aceh",3.0,8.5,542.0,Mengesankan
Banda Aceh,9000000972937,Plum Hotel Lading Banda Aceh,Plum Hotel Lading Banda Aceh,"Baiturrahman, Banda Aceh",3.0,8.1,50.0,Nyaman
Banda Aceh,9000000475431,SPOT ON 2134 Seunia Hotel,SPOT ON 2134 Seunia Hotel,"Syiah Kuala, Banda Aceh",1.0,8.0,166.0,Nyaman
Banda Aceh,3000010015804,Hotel Rasamala,Hotel Rasamala,"Banda Raya, Banda Aceh",3.0,8.3,277.0,Mengesankan
Banda Aceh,9000000971091,Hotel Amel & Convention Hall,Hotel Amel & Convention Hall,"Meuraksa, Banda Aceh",3.0,8.2,29.0,Nyaman
Banda Aceh,3000020016227,OYO 854 Ub Caisar Hotel,OYO 854 Ub Caisar Hotel,"Syiah Kuala, Banda Aceh",2.0,7.0,507.0,Baik
Banda Aceh,3000010001183,Hotel Mekkah,Hotel Mekkah,"Kuta Alam, Banda Aceh",3.0,7.6,826.0,Nyaman
Banda Aceh,3000010001554,Kumala Hotel Banda Aceh,Kumala Hotel Banda Aceh,"Ulee Kareng, Banda Aceh",2.0,8.5,490.0,Mengesankan
Banda Aceh,3000010003896,Grand Nanggroe Hotel,Grand Nanggroe Hotel,"Lueng Bata, Banda Aceh",3.0,7.5,291.0,Nyaman
Banda Aceh,3000010041579,Seventeen Hotel,Seventeen Hotel,"Baiturrahman, Banda Aceh",3.0,8.5,390.0,Mengesankan
Banda Aceh,3000010003881,Hotel 61 Banda Aceh,Hotel 61 Banda Aceh,"Kuta Alam, Banda Aceh",2.0,7.7,511.0,Nyaman
Banda Aceh,9000000690749,Mita Mulia Hotel,Mita Mulia Hotel,"Syiah Kuala, Banda Aceh",0.0,8.4,68.0,Mengesankan
Banda Aceh,3000010001555,Oasis Atjeh Hotel,Oasis Atjeh Hotel,"Lueng Bata, Banda Aceh",3.0,8.2,435.0,Nyaman
Banda Aceh,3000020006150,Al-Hanifi Hotel,Al-Hanifi Hotel,"Kuta Alam, Banda Aceh",0.0,8.4,234.0,Mengesankan
Banda Aceh,9000000457742,Capital O 2018 Ring Road Guest House Syariah,Capital O 2018 Ring Road Guest House Syariah,"Lueng Bata, Banda Aceh",2.0,8.0,140.0,Nyaman
Banda Aceh,9000000475431,SPOT ON 2134 Seunia Hotel,SPOT ON 2134 Seunia Hotel,"Syiah Kuala, Banda Aceh",1.0,8.0,166.0,Nyaman
Banda Aceh,3000020016394,My Home Aceh,My Home Aceh,"Kuta Alam, Banda Aceh",0.0,8.4,188.0,Mengesankan
Banda Aceh,3000020018796,Capital O 1630 Hotel Syariah Ring Road,Capital O 1630 Hotel Syariah Ring Road,"Lueng Bata, Banda Aceh",1.5,7.8,324.0,Nyaman
Banda Aceh,3000010003869,Hotel Madinah,Hotel Madinah,"Kuta Alam, Banda Aceh",2.0,6.9,194.0,Baik
Banda Aceh,9000001043455,Hozby Family Suites,Hozby Family Suites,"Banda Raya, Banda Aceh",0.0,,,
Padang,411648,The ZHM Premiere (d/h Grand Zuri) Padang,The ZHM Premiere (d/h Grand Zuri) Padang,"Padang Selatan, Padang",4.0,8.6,8050.0,Mengesankan
Padang,344282,Truntum Padang Hotel,Truntum Padang Hotel,"Padang Barat, Padang",4.0,8.6,5134.0,Mengesankan
Padang,44371400000,ibis Padang,ibis Padang Hotel,"Padang Utara, Padang",3.0,8.2,5555.0,Nyaman
Padang,3000010000635,Rocky Plaza Hotel Padang,Rocky Plaza Hotel Padang,"Padang Barat, Padang",4.0,8.3,8221.0,Mengesankan
Padang,1000000464585,Pangeran Beach Hotel,Pangeran Beach Hotel,"Padang Utara, Padang",4.0,8.3,4637.0,Mengesankan
Padang,399934,Mercure Padang,Mercure Padang,"Padang Barat, Padang",4.0,8.4,1921.0,Mengesankan
Padang,9000000973808,Ocean Beach Hotel,Ocean Beach Hotel,"Padang Barat, Padang",3.5,8.4,322.0,Mengesankan
Padang,3000010000635,Rocky Plaza Hotel Padang,Rocky Plaza Hotel Padang,"Padang Barat, Padang",4.0,8.3,8221.0,Mengesankan
Padang,3000010000525,Kyriad Bumiminang Hotel Padang,Kyriad Bumiminang Hotel Padang,"Padang Barat, Padang",4.0,8.0,4361.0,Nyaman
Padang,3000010001335,The Axana Hotel,The Axana Hotel,"Padang Barat, Padang",4.0,8.0,5440.0,Nyaman
Padang,3000010000525,Kyriad Bumiminang Hotel Padang,Kyriad Bumiminang Hotel Padang,"Padang Barat, Padang",4.0,8.0,4361.0,Nyaman
Padang,3000010018845,favehotel Olo Padang,favehotel Olo Padang,"Padang Barat, Padang",3.0,8.1,6737.0,Nyaman
